policy_id,policy_name,variant_name,checkpoint_path,step,counterfactual_id,counterfactual_description,llm_layer,base_action_id,base_action_name,modified_action_id,modified_action_name,action_changed,base_value,modified_value,value_delta
online_skip25_final,online_skip25_final,step_20260225,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip25-dualconcat-l24-100m-rerun4_20260225_230016.msgpack,1456,step1456_remove_ladder_close,Remove ladder tile and set ladder open to false.,24,19,ASCEND,19,ASCEND,0,0.3192209303379059,0.30419543385505676,-0.015025496482849121
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,6,step0006_dark_with_mobs,Make the scene darker and add nearby hostile mobs.,24,3,UP,3,UP,0,7.003520965576172,7.010655403137207,0.007134437561035156
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,6,step0006_low_drink,Lower drink sharply.,24,3,UP,3,UP,0,7.003520965576172,6.850422382354736,-0.15309858322143555
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,6,step0006_low_energy,Lower energy sharply.,24,3,UP,3,UP,0,7.003520965576172,6.794322967529297,-0.209197998046875
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,6,step0006_low_food,Lower food sharply.,24,3,UP,3,UP,0,7.003520965576172,6.825100421905518,-0.1784205436706543
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,6,step0006_low_health,Lower health sharply.,24,3,UP,3,UP,0,7.003520965576172,7.043549537658691,0.04002857208251953
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,240,step0240_add_zombie_right,Add a zombie one tile to the right.,24,7,PLACE_STONE,7,PLACE_STONE,0,3.2963972091674805,3.290409803390503,-0.005987405776977539
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,619,step0619_shift_arrow_skeleton_left,Move arrow and skeleton left to requested target coordinates.,24,8,PLACE_TABLE,8,PLACE_TABLE,0,2.5040478706359863,2.515028715133667,0.010980844497680664
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,1065,step1065_no_sword_more_witches,Remove iron sword from inventory and add witches at specified coordinates.,24,8,PLACE_TABLE,8,PLACE_TABLE,0,0.06039292365312576,0.055405594408512115,-0.0049873292446136475
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,1103,step1103_remove_stone,Remove the nearby stone block.,24,38,MAKE_TORCH,38,MAKE_TORCH,0,-0.4179236888885498,-0.4038686454296112,0.014055043458938599
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,1326,step1326_torch_to_stone,Replace the torch with a stone block.,24,8,PLACE_TABLE,8,PLACE_TABLE,0,-0.10814011842012405,-0.10439374297857285,0.0037463754415512085
online_skip5_latest,online_skip5_latest,step_50003968,/data/group_data/rl/geney/online_rl_hidden_models/online-jax-128env-skip5-dualconcat-l24-100m-rerun4_step000050003968.msgpack,1456,step1456_remove_ladder_close,Remove ladder tile and set ladder open to false.,24,8,PLACE_TABLE,8,PLACE_TABLE,0,-0.20046649873256683,-0.20427991449832916,-0.003813415765762329
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,6,step0006_dark_with_mobs,Make the scene darker and add nearby hostile mobs.,-1,3,UP,3,UP,0,5.442071437835693,5.413015365600586,-0.029056072235107422
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,6,step0006_low_drink,Lower drink sharply.,-1,3,UP,3,UP,0,5.442071437835693,5.543289661407471,0.10121822357177734
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,6,step0006_low_energy,Lower energy sharply.,-1,3,UP,3,UP,0,5.442071437835693,6.040151119232178,0.5980796813964844
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,6,step0006_low_food,Lower food sharply.,-1,3,UP,3,UP,0,5.442071437835693,6.039059638977051,0.5969882011413574
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,6,step0006_low_health,Lower health sharply.,-1,3,UP,3,UP,0,5.442071437835693,5.4162983894348145,-0.025773048400878906
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,240,step0240_add_zombie_right,Add a zombie one tile to the right.,-1,4,DOWN,4,DOWN,0,4.4637837409973145,4.4637837409973145,0.0
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,619,step0619_shift_arrow_skeleton_left,Move arrow and skeleton left to requested target coordinates.,-1,1,LEFT,1,LEFT,0,6.81872034072876,7.178286075592041,0.35956573486328125
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,1065,step1065_no_sword_more_witches,Remove iron sword from inventory and add witches at specified coordinates.,-1,28,PLACE_TORCH,28,PLACE_TORCH,0,0.5658706426620483,0.5658706426620483,0.0
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,1103,step1103_remove_stone,Remove the nearby stone block.,-1,19,ASCEND,19,ASCEND,0,3.5821213722229004,3.768928050994873,0.18680667877197266
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,1326,step1326_torch_to_stone,Replace the torch with a stone block.,-1,19,ASCEND,19,ASCEND,0,0.8829630613327026,0.8829630613327026,0.0
offline_dual_skip1,offline_dual_skip1,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip1_real/awr_llm_final.pth,1456,step1456_remove_ladder_close,Remove ladder tile and set ladder open to false.,-1,28,PLACE_TORCH,28,PLACE_TORCH,0,-1.1718469858169556,-1.1706749200820923,0.0011720657348632812
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,6,step0006_dark_with_mobs,Make the scene darker and add nearby hostile mobs.,-1,1,LEFT,1,LEFT,0,5.906081676483154,5.917594909667969,0.011513233184814453
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,6,step0006_low_drink,Lower drink sharply.,-1,1,LEFT,1,LEFT,0,5.906081676483154,5.917895317077637,0.011813640594482422
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,6,step0006_low_energy,Lower energy sharply.,-1,1,LEFT,1,LEFT,0,5.906081676483154,5.917594909667969,0.011513233184814453
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,6,step0006_low_food,Lower food sharply.,-1,1,LEFT,1,LEFT,0,5.906081676483154,5.917697906494141,0.011616230010986328
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,6,step0006_low_health,Lower health sharply.,-1,1,LEFT,4,DOWN,1,5.906081676483154,5.992549896240234,0.08646821975708008
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,240,step0240_add_zombie_right,Add a zombie one tile to the right.,-1,15,MAKE_STONE_SWORD,15,MAKE_STONE_SWORD,0,3.067981243133545,3.067981243133545,0.0
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,619,step0619_shift_arrow_skeleton_left,Move arrow and skeleton left to requested target coordinates.,-1,9,PLACE_FURNACE,9,PLACE_FURNACE,0,1.1850899457931519,1.1850899457931519,0.0
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,1065,step1065_no_sword_more_witches,Remove iron sword from inventory and add witches at specified coordinates.,-1,28,PLACE_TORCH,28,PLACE_TORCH,0,0.024555563926696777,0.06756484508514404,0.043009281158447266
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,1103,step1103_remove_stone,Remove the nearby stone block.,-1,19,ASCEND,19,ASCEND,0,0.019366145133972168,0.08207166194915771,0.06270551681518555
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,1326,step1326_torch_to_stone,Replace the torch with a stone block.,-1,19,ASCEND,19,ASCEND,0,0.7897399663925171,0.7897399663925171,0.0
offline_dual_skip5,offline_dual_skip5,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip5_real/awr_llm_final.pth,1456,step1456_remove_ladder_close,Remove ladder tile and set ladder open to false.,-1,28,PLACE_TORCH,28,PLACE_TORCH,0,1.544193148612976,1.5441936254501343,4.76837158203125e-07
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,6,step0006_dark_with_mobs,Make the scene darker and add nearby hostile mobs.,-1,1,LEFT,1,LEFT,0,2.942216634750366,3.4915456771850586,0.5493290424346924
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,6,step0006_low_drink,Lower drink sharply.,-1,1,LEFT,1,LEFT,0,2.942216634750366,3.130728244781494,0.18851161003112793
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,6,step0006_low_energy,Lower energy sharply.,-1,1,LEFT,1,LEFT,0,2.942216634750366,2.891474723815918,-0.05074191093444824
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,6,step0006_low_food,Lower food sharply.,-1,1,LEFT,1,LEFT,0,2.942216634750366,2.3355820178985596,-0.6066346168518066
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,6,step0006_low_health,Lower health sharply.,-1,1,LEFT,1,LEFT,0,2.942216634750366,3.315016269683838,0.3727996349334717
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,240,step0240_add_zombie_right,Add a zombie one tile to the right.,-1,3,UP,3,UP,0,3.638909101486206,4.488518714904785,0.8496096134185791
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,619,step0619_shift_arrow_skeleton_left,Move arrow and skeleton left to requested target coordinates.,-1,1,LEFT,1,LEFT,0,4.859601020812988,5.300163269042969,0.44056224822998047
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,1065,step1065_no_sword_more_witches,Remove iron sword from inventory and add witches at specified coordinates.,-1,19,ASCEND,19,ASCEND,0,-0.0994424819946289,-0.5330100059509277,-0.43356752395629883
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,1103,step1103_remove_stone,Remove the nearby stone block.,-1,19,ASCEND,19,ASCEND,0,0.9450900554656982,0.5771565437316895,-0.3679335117340088
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,1326,step1326_torch_to_stone,Replace the torch with a stone block.,-1,19,ASCEND,19,ASCEND,0,-0.7771515846252441,0.08560323715209961,0.8627548217773438
offline_dual_skip25,offline_dual_skip25,final,/data/group_data/rl/geney/checkpoints/awr_llm_augmented_live/offline_dualfixed_shardrot_20260225_1620_skip25_real/awr_llm_final.pth,1456,step1456_remove_ladder_close,Remove ladder tile and set ladder open to false.,-1,19,ASCEND,19,ASCEND,0,0.8650736808776855,0.5750274658203125,-0.29004621505737305
