t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
1310,predict_state_only,predict,ok,7.400825,8359,956,2544,225,2769,,"Headline: Immediate ladder descent and early Floor 2 resource acquisition.  Meanful events (ordered): 1. [t+1 to t+3] The player moves right toward the open ladder at (5, 0) to descend to Floor 2, prioritizing pr ...<snip>"
1310,predict_history_k5,predict,ok,9.669692,16959,1048,7163,263,7426,,"Headline: Immediate descent to Floor 2 followed by resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves right to clear the final Snail at (3,0) and (4,0) to ensure the path is sa ...<snip>"
1450,predict_state_only,predict,ok,8.385574,8379,1067,2556,257,2813,,"Headline: Immediate ladder descent and resource consolidation on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves left along the path to reach the open ladder at (-4, 0) and descends to Flo ...<snip>"
1450,predict_history_k5,predict,ok,7.891922,17123,845,7248,203,7451,,"Headline: Securing hydration and positioning for ladder descent on Floor 1.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves left toward the fountain at (-2, 3) to drink and restore Drink stats, pri ...<snip>"
1750,predict_state_only,predict,ok,7.196647,8460,902,2599,218,2817,,"Headline: Immediate ladder descent followed by floor 2 resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the open ladder at (0, -4) and descends to Floor 2, gainin ...<snip>"
1750,predict_history_k5,predict,ok,9.042832,17382,1068,7406,239,7645,,"Headline: Immediate descent to Floor 2 followed by resource consolidation and tool upgrade.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves DOWN to descend to Floor 2, gaining 1 XP and triggering t ...<snip>"
2050,predict_state_only,predict,ok,8.021617,8400,1010,2537,245,2782,,"Headline: Immediate descent to Floor 2 and resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves left toward the open ladder at (0, -1) to descend to Floor 2, prioritizing progres ...<snip>"
2050,predict_history_k5,predict,ok,8.822326,17196,1005,7157,235,7392,,"Headline: Immediate survival crisis due to Orc Mage aggro and low health.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left into the darkness, triggering an encounter with the nearby Orc Mage. W ...<snip>"
2180,predict_state_only,predict,ok,7.976363,8382,992,2550,243,2793,,"Headline: Immediate ladder descent followed by early-floor resource consolidation.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves directly to the open ladder at (0, -4) and descends to Floor 2, ga ...<snip>"
2180,predict_history_k5,predict,ok,7.321129,17257,759,7286,183,7469,,"Headline: Immediate combat engagement followed by ladder descent.  Meaningful events (ordered): 1. [t+1 to t+3] The player moves down and engages the Snail at (4, -1) using the Iron Sword, prioritizing survival a ...<snip>"
2195,predict_state_only,predict,ok,7.683325,8365,934,2523,234,2757,,"Headline: Closing the ladder on Floor 2 to descend to Floor 3.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves south along the central path (Column 0) to engage the troops blocking the ladder, prio ...<snip>"
2195,predict_history_k5,predict,ok,8.351806,17545,911,7300,217,7517,,"Headline: Immediate survival setup and resource gathering on Floor 2.  Meaningful events (ordered): 1. [t+1 to t+5] The player moves left toward the visible path network to locate the nearest ladder, as the curre ...<snip>"
