t,run_id,role,status,latency_s,prompt_chars,response_chars,prompt_tokens,completion_tokens,total_tokens,error,response_preview
1310,oracle_privileged,oracle,ok,13.720547,901452,2234,504753,515,505268,,"Headline: Resource gathering and gear upgrade lead to a fatal descent into the Dungeon.  Meaningful events (ordered): 1. [t+8] Looted a chest on Floor 1, obtaining arrows and additional torches. 2. [t+102] Suffer ...<snip>"
1310,oracle_next15,oracle,ok,2.775642,29501,1216,16561,276,16837,,"Headline: Looting a Dungeon Chest and Navigating the Corridors  Meaningful events (ordered): 1. [t+1] The player drinks from a nearby fountain, restoring their drink stat to maximum. 2. [t+2-t+7] The player navig ...<snip>"
1450,oracle_privileged,oracle,ok,7.685026,778927,2470,436087,563,436650,,Headline: A Descent into Darkness Ends in a Fatal Encounter with Floor 2 Denizens  Meaningful events (ordered): 1. [t+44] The player drinks from a fountain on Floor 1 to stabilize their hydration before exploring ...<snip>
1450,oracle_next15,oracle,ok,3.108868,29578,1180,16603,257,16860,,"Headline: Navigating the Dungeon Corridors  Meaningful events (ordered): 1. [t+1] The player moves left through a narrow corridor, passing a fountain at t+3. 2. [t+4] The player turns upward, moving through a ver ...<snip>"
1750,oracle_privileged,oracle,ok,6.979027,522404,2356,290284,576,290860,,"Headline: A Descent into Darkness Ends in a Fatal Encounter with a Gnome Warrior  Meaningful events (ordered): 1. [t+12] Discovers a fountain on Floor 1 to replenish hydration. 2. [t+30] Acquires a second Ruby, l ...<snip>"
1750,oracle_next15,oracle,ok,3.158532,31875,1267,17181,302,17483,,Headline: Persistent Southern Exploration Through the Dungeon Corridors  Meaningful events (ordered): 1. [t+1] Continues moving south through a narrow 1-block wide corridor on Floor 1. 2. [t+11] Thirst level begi ...<snip>
2050,oracle_privileged,oracle,ok,5.662258,254758,2045,141699,488,142187,,Headline: Resource gathering and high-tier crafting lead to a fatal confrontation on Floor 2.  Meaningful events (ordered): 1. [t+2] Consumes food to restore hunger and health. 2. [t+144] Descends to Floor 2 afte ...<snip>
2050,oracle_next15,oracle,ok,2.919959,30419,1242,16834,272,17106,,"Headline: Navigating a Dangerous Dungeon Corridor While Avoiding Orc Mages  Meaningful events (ordered): 1. [t+2] The player consumes food, increasing Food stats from 5 to 9. 2. [t+3-t+5] The player moves south,  ...<snip>"
2180,oracle_privileged,oracle,ok,5.065035,140376,2096,77764,472,78236,,Headline: Descent into the Mines and a Fatal Encounter with Gnome Warriors  Meaningful events (ordered): 1. [t+14] The player reaches the ladder on Floor 1 and descends to Floor 2. 2. [t+22] Upon entering the dar ...<snip>
2180,oracle_next15,oracle,ok,2.992491,30475,1153,16821,270,17091,,Headline: Navigating Floor 1 to Descend into the Second Dungeon Level  Meaningful events (ordered): 1. [t+1-t+3] The player uses a fountain to restore Food to maximum (9). 2. [t+7] The player uses a fountain agai ...<snip>
2195,oracle_privileged,oracle,ok,5.749207,126184,2054,69874,492,70366,,Headline: Resource Gathering and Equipment Upgrading Ends in a Fatal Skirmish on Floor 2  Meaningful events (ordered): 1. [t+8] Places a torch to illuminate a dark cavern filled with stone and coal. 2. [t+16] Sla ...<snip>
2195,oracle_next15,oracle,ok,3.333018,30312,1353,16730,304,17034,,"Headline: Lighting the Depths and Mining in Floor 2  Meaningful events (ordered): 1. [t+1-t+7] The player moves through the darkness of the second floor, navigating away from the starting ladder. 2. [t+8] The pla ...<snip>"
